id_candidato,anios_experiencia,nivel_educativo,skills_deseables_ratio,peso_certificaciones,decision_final
2518,0.6,universitario,0.49,1,0
606,1.4,secundario,0.25,0,0
4253,14.2,universitario,0.76,7,1
4356,25.9,terciario,0.72,5,1
4042,19.6,terciario,0.84,8,1
515,0.4,secundario,0.31,0,0
4249,15.2,universitario,0.81,0,1
1284,1.6,secundario,0.14,0,0
586,1.2,secundario,0.13,0,0
994,0.5,secundario,0.01,1,0
906,0.2,secundario,0.18,1,0
656,0.8,terciario,0.27,0,0
3926,16.5,terciario,0.84,0,1
1298,0.6,terciario,0.12,0,0
4354,15.7,universitario,0.74,8,1
4159,22.0,terciario,0.78,4,1
1394,0.4,secundario,0.19,1,0
2322,0.6,universitario,0.66,2,0
3605,5.9,universitario,0.76,5,0
3755,4.6,terciario,0.56,15,1
4859,0.9,universitario,0.96,22,1
3107,5.3,universitario,0.65,13,0
2194,0.3,universitario,0.64,4,0
2288,0.0,universitario,0.71,1,0
3137,7.6,terciario,0.6,8,0
4019,19.9,universitario,0.65,3,1
1373,0.0,terciario,0.25,1,0
391,1.4,secundario,0.08,1,0
4928,0.7,universitario,0.99,22,1
353,0.7,secundario,0.4,0,0
3346,8.2,universitario,0.55,7,0
451,0.3,secundario,0.29,0,0
1288,0.9,terciario,0.12,1,0
2062,0.4,universitario,0.64,2,0
523,1.1,secundario,0.26,0,0
191,0.6,secundario,0.12,3,0
3830,6.3,universitario,0.4,10,0
2337,0.4,universitario,0.65,0,0
771,0.5,secundario,0.13,1,0
3141,6.6,terciario,0.75,11,1
127,0.6,terciario,0.33,0,0
530,1.5,terciario,0.15,0,0
784,1.1,terciario,0.26,1,0
4564,12.9,universitario,0.78,0,1
4046,14.1,terciario,0.78,3,1
3624,7.2,universitario,0.62,9,1
1642,0.5,universitario,0.45,5,0
2132,0.6,universitario,0.67,0,0
2333,0.2,universitario,0.7,3,0
4221,15.4,universitario,0.8,2,1
3336,4.0,terciario,0.46,8,1
355,1.1,secundario,0.32,0,0
1130,1.0,secundario,0.22,2,0
4493,16.6,terciario,0.81,11,1
3901,15.6,universitario,0.81,5,1
4411,17.9,universitario,0.65,6,1
2610,4.0,universitario,0.69,5,1
2393,1.0,universitario,0.49,2,0
1424,0.6,terciario,0.28,0,0
1651,0.7,universitario,0.62,5,0
4748,0.7,universitario,0.93,24,1
416,0.6,secundario,0.34,0,0
1343,0.8,terciario,0.12,0,0
2551,0.6,universitario,0.6,0,0
1679,0.1,universitario,0.65,3,0
4726,0.7,universitario,0.94,22,0
3217,4.8,terciario,0.74,11,0
170,0.8,secundario,0.38,0,0
960,0.9,secundario,0.24,0,0
2854,3.6,terciario,0.81,9,0
1733,0.7,universitario,0.73,3,0
1751,0.4,universitario,0.65,3,0
3961,18.7,terciario,0.84,7,1
3207,5.8,terciario,0.62,7,1
1175,0.0,secundario,0.05,0,0
4102,19.4,universitario,0.83,6,1
888,0.2,secundario,0.14,2,0
2706,3.0,terciario,0.69,12,0
3731,8.8,universitario,0.65,14,0
2222,0.4,universitario,0.6,0,0
1975,0.2,universitario,0.63,2,0
912,1.4,secundario,0.07,1,0
488,1.1,secundario,0.28,0,0
2983,4.9,terciario,0.7,5,0
1276,1.5,secundario,0.12,1,0
3298,7.7,universitario,0.61,9,1
2724,5.8,universitario,0.7,9,0
1452,0.2,terciario,0.05,0,0
511,0.5,terciario,0.29,0,0
4313,10.0,terciario,0.78,3,0
210,1.1,secundario,0.06,2,0
5096,0.7,universitario,1.0,24,1
3530,7.1,terciario,0.63,11,0
2910,4.3,universitario,0.63,8,1
2695,7.3,universitario,0.74,13,1
2937,5.1,terciario,0.82,7,0
2473,0.5,universitario,0.54,3,0
1336,1.9,secundario,0.37,0,0
2247,0.4,universitario,0.55,3,0
5076,0.9,universitario,0.98,20,1
700,0.3,terciario,0.21,1,1
1535,0.8,terciario,0.22,0,0
5097,1.1,universitario,0.92,23,1
639,0.5,secundario,0.38,1,0
822,1.2,secundario,0.29,1,0
4511,20.9,universitario,0.71,2,1
1973,0.5,universitario,0.59,1,0
2946,5.2,universitario,0.83,13,1
2154,0.6,universitario,0.75,3,0
3008,6.5,terciario,0.74,5,1
2355,0.5,universitario,0.58,0,0
4013,13.1,terciario,0.6,0,0
278,0.4,secundario,0.22,0,0
2991,6.9,terciario,0.59,5,0
3774,7.4,universitario,0.56,17,0
181,0.7,secundario,0.19,1,0
2662,3.0,terciario,0.71,5,1
1824,0.6,universitario,0.42,5,0
1718,0.5,universitario,0.57,0,0
1755,0.5,universitario,0.5,1,0
2429,0.4,universitario,0.52,2,0
4714,0.8,universitario,0.9,22,1
322,0.1,secundario,0.17,0,0
194,0.9,secundario,0.14,0,0
2710,8.7,universitario,0.55,10,1
3483,3.0,universitario,0.61,10,0
4516,22.2,terciario,0.75,5,1
1498,1.9,secundario,0.15,0,0
4787,0.8,universitario,0.9,25,1
1393,0.4,secundario,0.16,0,0
2265,0.4,universitario,0.64,0,0
3040,6.0,terciario,0.7,9,0
3769,4.5,terciario,0.66,9,0
913,0.0,secundario,0.3,0,0
1359,1.0,secundario,0.24,2,0
990,0.5,secundario,0.25,0,0
1552,1.8,secundario,0.21,0,0
3417,7.2,terciario,0.79,9,1
2660,8.5,terciario,0.53,13,0
3675,5.1,terciario,0.6,9,1
2781,6.9,terciario,0.72,9,0
4752,0.8,universitario,0.93,23,1
4912,0.9,universitario,0.93,24,1
4780,1.1,universitario,1.0,22,1
3065,3.0,terciario,0.66,14,1
2773,6.7,terciario,0.71,7,0
662,0.8,secundario,0.31,0,0
2879,7.7,universitario,0.71,9,0
3049,6.0,universitario,0.73,7,0
2918,4.6,terciario,0.61,11,1
2859,5.4,terciario,0.69,10,0
1857,0.6,universitario,0.72,0,0
825,0.7,secundario,0.32,2,0
320,0.5,terciario,0.37,0,0
4240,23.4,universitario,0.61,11,1
4058,23.3,terciario,0.62,12,1
1689,0.3,universitario,0.61,5,0
3448,6.2,terciario,0.58,14,1
4071,18.0,terciario,0.72,0,1
4808,0.8,universitario,0.9,22,0
144,1.2,terciario,0.2,0,0
3102,5.5,terciario,0.65,5,0
311,0.3,secundario,0.12,0,0
778,0.6,secundario,0.18,1,0
455,2.0,secundario,0.24,1,0
1534,1.0,secundario,0.29,0,0
1050,0.2,terciario,0.12,1,0
2944,8.7,terciario,0.54,9,1
678,1.1,secundario,0.17,0,0
4029,18.6,universitario,0.64,4,1
645,1.4,secundario,0.39,2,0
468,1.0,secundario,0.15,0,0
1713,0.8,universitario,0.59,1,0
3651,6.2,terciario,0.58,5,1
3817,6.0,universitario,0.74,11,1
3880,16.8,terciario,0.68,0,1
236,0.0,secundario,0.29,0,0
4581,12.5,terciario,0.6,7,0
1538,1.6,terciario,0.26,1,0
148,0.6,secundario,0.21,2,0
1461,0.8,secundario,0.25,2,0
835,1.6,secundario,0.19,1,0
1635,0.7,universitario,0.5,2,0
2105,0.7,universitario,0.56,0,0
3896,16.8,terciario,1.0,7,1
2620,5.9,universitario,0.75,12,1
2073,0.6,universitario,0.75,5,0
1097,0.6,terciario,0.23,1,0
162,1.2,secundario,0.0,0,0
1209,1.5,secundario,0.4,2,0
2506,0.3,universitario,0.68,1,0
196,0.3,secundario,0.17,0,0
579,0.5,secundario,0.16,2,1
4460,13.1,terciario,0.71,4,1
4213,12.9,terciario,0.72,6,1
3808,5.0,terciario,0.64,8,0
1202,0.6,secundario,0.11,1,0
2847,6.8,terciario,0.64,8,1
2271,0.6,universitario,0.55,4,0
423,1.3,secundario,0.21,2,0
4355,18.7,universitario,0.74,8,1
3243,6.3,terciario,0.6,16,0
3638,5.9,universitario,0.58,12,0
5026,0.6,universitario,0.9,22,1
3025,5.8,terciario,0.68,9,1
1250,0.0,secundario,0.18,0,0
3718,6.3,terciario,0.76,14,0
392,1.1,secundario,0.02,1,0
3850,3.0,terciario,0.57,10,0
3687,5.3,terciario,0.74,9,1
634,1.4,secundario,0.28,0,0
3708,6.6,terciario,0.51,9,0
2749,5.3,universitario,0.74,10,1
4911,0.6,universitario,0.9,20,1
2084,0.7,universitario,0.57,5,0
3033,6.3,universitario,0.63,6,1
1637,0.3,universitario,0.66,2,0
4635,1.6,universitario,0.98,25,1
4273,13.6,universitario,0.69,6,0
3461,7.9,terciario,0.67,11,0
3766,5.2,universitario,0.73,10,0
4106,19.9,terciario,0.79,5,1
3727,7.8,terciario,0.69,10,1
687,1.0,secundario,0.31,0,0
3357,7.8,terciario,0.66,8,1
2399,0.5,universitario,0.63,1,0
4089,14.0,universitario,0.81,0,1
685,1.1,secundario,0.17,0,0
2524,0.2,universitario,0.53,3,0
1492,1.4,secundario,0.24,0,0
4626,1.1,universitario,0.91,22,1
5021,0.5,universitario,0.95,23,1
4901,0.9,universitario,0.9,22,1
3341,9.0,universitario,0.58,8,1
4382,24.4,terciario,0.72,1,1
3439,5.7,terciario,0.5,10,0
3321,5.8,terciario,0.75,5,0
2212,0.9,universitario,0.75,0,0
1275,0.7,secundario,0.25,0,0
4963,0.9,universitario,0.9,21,1
3912,15.7,universitario,0.79,5,1
1968,0.8,universitario,0.59,0,1
2715,7.5,terciario,0.67,16,1
3967,23.1,universitario,0.74,6,1
4986,0.8,universitario,0.9,25,1
3879,14.6,terciario,0.68,4,1
3947,20.0,terciario,0.77,3,1
2517,0.3,universitario,0.6,1,0
171,1.4,secundario,0.0,1,0
4981,1.5,universitario,1.0,23,1
1227,1.0,secundario,0.07,0,0
4125,18.1,terciario,0.82,2,1
3351,7.8,terciario,0.42,11,1
4002,20.3,terciario,0.69,0,1
1196,0.6,terciario,0.28,2,0
4646,0.4,universitario,0.95,24,1
1313,0.5,secundario,0.0,1,0
4022,16.2,terciario,0.69,5,0
1526,0.7,secundario,0.12,1,0
3167,7.8,terciario,0.65,7,1
4620,0.9,universitario,0.98,21,1
2201,0.5,universitario,0.74,4,0
908,0.8,secundario,0.22,0,0
4844,1.0,universitario,0.93,23,1
3851,15.0,universitario,0.78,5,1
1463,0.9,secundario,0.23,1,0
2418,0.4,universitario,0.47,0,0
4682,0.6,universitario,0.94,21,1
4842,1.3,universitario,0.95,23,1
1126,1.2,terciario,0.19,0,0
3210,3.2,terciario,0.63,14,0
2211,0.4,universitario,0.49,3,0
1142,0.1,terciario,0.16,0,0
1977,0.3,universitario,0.55,1,0
982,1.5,secundario,0.0,0,0
4400,15.2,terciario,0.69,7,1
1293,0.6,secundario,0.28,2,0
4688,0.9,universitario,0.97,22,1
4611,1.2,universitario,0.94,25,0
3771,7.2,universitario,0.68,10,1
725,1.3,secundario,0.05,1,0
2897,9.3,universitario,0.58,13,0
4392,21.4,terciario,0.6,6,1
5069,1.2,universitario,0.96,22,1
334,0.3,secundario,0.34,0,0
4667,1.6,universitario,0.97,21,1
1763,1.0,universitario,0.53,1,1
516,1.0,secundario,0.22,0,0
4347,16.5,terciario,0.67,7,1
2274,0.5,universitario,0.57,0,0
1557,0.8,terciario,0.13,1,0
847,1.3,secundario,0.0,0,0
118,1.0,secundario,0.31,0,0
1301,0.7,terciario,0.27,0,0
1800,0.4,universitario,0.51,4,0
3354,10.0,terciario,0.72,8,1
697,0.0,secundario,0.09,1,0
3327,4.9,universitario,0.82,11,0
4506,23.3,terciario,0.69,4,1
4820,0.7,universitario,1.0,23,1
1606,0.7,universitario,0.59,0,0
1513,0.1,secundario,0.04,0,0
2066,0.8,universitario,0.52,2,0
472,1.2,terciario,0.27,0,0
1441,1.0,secundario,0.09,0,0
699,0.8,secundario,0.28,0,0
339,0.9,secundario,0.0,0,0
3501,3.0,terciario,0.74,5,1
2168,0.7,universitario,0.57,3,0
911,1.2,secundario,0.11,1,0
1195,0.8,secundario,0.2,0,0
4425,15.5,universitario,0.69,1,1
4861,1.2,universitario,0.9,21,1
3777,3.0,terciario,0.59,11,0
3565,4.1,universitario,0.55,11,1
3204,5.5,universitario,0.71,11,1
2850,4.8,universitario,0.72,15,0
2396,0.6,universitario,0.56,2,0
4293,10.0,terciario,0.77,2,0
3809,3.0,universitario,0.82,9,1
3119,7.7,terciario,0.84,12,1
4353,23.2,universitario,0.73,6,1
904,0.8,secundario,0.13,0,0
4291,19.3,universitario,0.87,5,1
3806,5.9,terciario,0.74,13,1
852,0.4,secundario,0.01,0,0
4745,0.6,universitario,0.92,24,1
2632,3.0,universitario,0.64,10,1
722,0.4,terciario,0.03,0,0
2398,0.5,universitario,0.68,0,0
3929,18.1,terciario,0.77,5,1
667,0.6,terciario,0.18,0,0
1236,0.5,secundario,0.22,0,0
1305,0.6,secundario,0.28,0,0
1148,0.9,terciario,0.34,1,0
152,0.8,secundario,0.15,0,0
3752,6.7,universitario,0.66,11,1
1145,1.3,terciario,0.22,0,0
2282,0.4,universitario,0.59,3,0
2789,8.4,terciario,0.78,6,1
635,0.1,secundario,0.18,1,0
3285,5.3,universitario,0.69,9,0
3958,14.1,terciario,0.75,4,1
544,0.7,secundario,0.16,1,0
3705,8.6,terciario,0.85,9,1
296,1.2,secundario,0.34,1,0
1216,1.0,terciario,0.34,1,0
866,1.2,secundario,0.22,0,0
2046,0.0,universitario,0.63,3,0
3348,6.6,universitario,0.72,8,1
3103,10.0,terciario,0.76,5,1
1533,1.8,secundario,0.22,0,1
4301,14.8,terciario,0.77,9,1
3196,3.1,universitario,0.63,9,0
3023,9.9,universitario,0.6,8,0
745,0.9,secundario,0.21,0,0
1150,0.5,secundario,0.3,0,0
3846,5.7,terciario,0.76,11,1
4194,18.9,terciario,0.73,3,1
4504,19.0,terciario,0.7,2,1
221,1.3,secundario,0.15,0,0
2153,0.4,universitario,0.63,0,0
4359,22.0,universitario,0.79,0,1
4989,1.0,universitario,0.9,23,1
4435,20.4,terciario,0.72,7,1
4792,0.7,universitario,0.9,22,1
235,1.0,secundario,0.19,1,0
2561,0.6,universitario,0.4,0,0
2055,0.2,universitario,0.65,2,0
2564,0.3,universitario,0.68,1,0
285,1.3,terciario,0.32,1,0
1493,0.7,secundario,0.22,3,0
2377,0.6,universitario,0.43,2,0
612,0.7,secundario,0.18,1,0
4830,0.7,universitario,0.95,22,1
4155,11.2,universitario,0.77,3,1
3238,4.6,universitario,0.54,12,0
2770,7.3,universitario,0.75,7,1
4874,1.0,universitario,0.98,23,1
4962,1.0,universitario,0.92,23,1
2218,0.8,universitario,0.52,0,0
352,1.1,terciario,0.24,0,0
3627,7.1,terciario,0.65,15,1
3660,4.6,terciario,0.54,7,0
4112,19.8,terciario,0.73,0,1
1608,0.8,universitario,0.75,0,0
223,0.7,terciario,0.21,2,0
4360,16.3,terciario,0.83,7,1
3434,4.3,terciario,0.55,9,0
1972,0.4,universitario,0.58,0,0
3793,6.8,terciario,0.4,7,0
668,0.8,terciario,0.25,0,0
1472,0.8,terciario,0.25,1,0
3286,7.2,terciario,0.54,11,1
4056,19.9,terciario,0.78,2,1
1157,0.6,secundario,0.2,2,0
957,1.5,terciario,0.22,1,0
3939,10.9,terciario,0.82,8,1
2961,7.0,terciario,0.65,5,1
4870,1.3,universitario,0.99,23,1
877,0.9,terciario,0.23,1,0
821,0.2,terciario,0.19,2,0
2811,6.9,universitario,0.65,6,1
2755,7.4,terciario,0.76,7,1
4978,0.8,universitario,1.0,24,1
703,1.1,secundario,0.32,1,0
3923,11.7,terciario,0.71,9,1
1345,0.1,terciario,0.15,1,0
4946,0.4,universitario,0.97,20,1
4942,1.2,universitario,0.9,24,0
419,0.8,secundario,0.27,2,0
929,0.8,terciario,0.18,1,0
3364,3.2,terciario,0.68,15,0
375,1.1,secundario,0.06,0,0
