satisfaccion_laboral,ultima_evaluacion_desempeño,average_montly_hours,time_spend_company,fue_promocionado,Department,ultima_evaluacion_superior,salida,edad,estado_civil,ausencias_90d,tardanzas_90d,salidas_tempranas_90d,horas_extras_90d
0.38,0.46,137,3,0,technical,0.4013841308,1,51,0,3,2,0,1
0.45,0.5,126,3,0,technical,0.3793016342,2,25,0,0,1,0,6
0.11,0.89,306,4,0,technical,0.945269908,2,53,1,1,6,2,0
0.41,0.54,152,3,0,technical,0.5220457481,2,31,1,2,1,3,0
0.87,0.88,269,5,0,technical,0.7666114705,2,26,2,2,2,2,3
0.45,0.48,158,3,0,technical,0.478553073,2,30,1,2,0,0,4
0.4,0.46,127,3,0,technical,0.3203165563,2,26,0,2,4,2,4
0.1,0.8,281,4,0,technical,0.9227961206,1,32,1,2,1,2,5
0.09,0.89,276,4,0,technical,0.8176339945,2,56,1,1,1,2,6
0.84,0.74,182,4,0,technical,0.7887566853,2,48,1,0,4,1,6
0.4,0.55,147,3,0,support,0.4935133228,1,25,0,0,0,1,3
0.57,0.7,273,6,0,support,0.7060204064,1,31,1,1,2,1,0
0.4,0.54,148,3,0,support,0.5540130838,2,60,1,0,5,1,3
0.43,0.47,147,3,0,support,0.3754563367,2,54,1,5,4,0,4
0.13,0.78,152,2,0,support,0.9208753883,2,59,2,1,1,2,4
0.44,0.55,135,3,0,support,0.632539847,2,29,2,1,3,1,2
0.38,0.55,134,3,0,support,0.6818496825,1,45,0,4,0,1,1
0.39,0.54,132,3,0,support,0.6584482051,2,60,2,4,2,0,3
0.1,0.92,307,4,0,support,0.9493699936,2,54,1,1,1,2,2
0.37,0.46,140,3,0,support,0.5865622705,2,40,2,2,3,1,5
0.11,0.94,255,4,0,support,0.8165477506,2,23,1,0,3,2,3
0.1,0.81,309,4,0,technical,0.7187948587,1,32,1,2,1,1,2
0.38,0.54,128,3,0,technical,0.4035681867,2,56,1,3,3,2,2
0.85,1,225,5,0,technical,0.9475990992,1,38,2,2,4,2,0
0.85,0.91,226,5,0,management,0.8766031869,1,24,0,2,3,2,2
0.11,0.93,308,4,0,IT,0.8614047095,2,43,0,4,1,2,3
0.1,0.95,244,5,0,IT,1,1,56,2,0,1,1,0
0.36,0.56,132,3,0,IT,0.517025998,2,42,0,1,4,2,2
0.11,0.94,286,4,0,IT,0.8742803529,2,46,0,0,2,2,1
0.81,0.7,161,4,0,IT,0.7128088249,1,60,1,1,1,1,2
0.43,0.54,153,3,0,product_mng,0.4322772675,1,23,2,2,1,0,2
0.9,0.98,264,6,0,product_mng,1,2,22,2,1,2,1,5
0.76,0.86,223,5,0,product_mng,0.7323651931,1,28,2,1,4,0,1
0.43,0.5,135,3,0,product_mng,0.646066081,2,41,1,2,3,0,1
0.74,0.99,277,3,0,IT,1,2,27,1,0,2,3,4
0.09,0.77,275,4,0,product_mng,0.6796147045,2,57,1,0,3,1,3
0.45,0.49,149,3,0,product_mng,0.3416566351,2,42,1,2,5,2,5
0.09,0.87,295,4,0,product_mng,0.9646384285,2,56,1,1,2,0,3
0.11,0.97,277,4,0,product_mng,1,1,57,0,2,3,0,1
0.11,0.79,306,4,0,product_mng,0.8587021504,2,29,2,3,3,0,3
0.1,0.83,295,4,0,product_mng,0.911381104,1,25,2,3,3,0,0
0.4,0.54,137,3,0,marketing,0.4122133955,2,37,1,0,3,1,4
0.43,0.56,157,3,0,sales,0.5175397186,2,24,1,3,5,0,4
0.39,0.56,142,3,0,accounting,0.4447607179,1,28,1,0,2,2,5
0.45,0.54,140,3,0,support,0.6489310278,2,23,1,2,1,3,5
0.38,0.49,151,3,0,technical,0.526989438,1,22,1,0,0,1,5
0.79,0.59,139,3,1,management,0.5392694075,2,22,1,1,0,0,2
0.84,0.85,249,6,0,marketing,0.7190675051,1,59,2,1,4,0,4
0.11,0.77,291,4,0,marketing,0.7132946965,2,28,1,0,1,2,3
0.11,0.87,305,4,0,marketing,0.8175549966,1,45,0,1,2,1,3
0.17,0.84,232,3,0,sales,0.9088818535,2,26,0,2,3,2,5
0.44,0.45,132,3,0,sales,0.4912672414,1,42,0,1,2,2,0
0.37,0.57,130,3,0,sales,0.6861638228,2,49,0,0,1,1,1
0.1,0.79,291,4,0,sales,0.7816644775,1,39,2,1,2,2,6
0.4,0.5,130,3,0,sales,0.3858782738,1,45,0,6,4,0,4
0.89,1,246,5,0,sales,1,2,53,2,2,2,0,2
0.42,0.48,143,3,0,sales,0.5582355146,1,54,1,0,1,2,4
0.46,0.55,129,3,0,sales,0.5683831593,2,31,1,1,4,2,3
0.09,0.83,255,4,0,sales,0.911290154,1,30,2,1,1,1,2
0.37,0.51,155,3,0,sales,0.5081386789,2,54,1,1,3,1,3
0.1,0.77,265,4,0,sales,0.7768198488,2,54,0,3,4,1,3
0.1,0.84,279,4,0,sales,0.8182623055,1,28,0,2,1,0,2
0.11,0.97,284,4,0,sales,0.827625738,2,25,1,0,3,0,2
0.9,1,221,6,0,sales,0.8823674281,1,49,0,1,4,4,3
0.38,0.52,154,3,0,sales,0.3794287557,1,44,2,3,0,2,3
0.36,0.52,147,3,0,sales,0.5609231234,2,53,2,1,5,3,7
0.42,0.46,150,3,0,sales,0.4043067943,1,37,0,1,0,2,5
0.09,0.94,267,4,0,sales,0.9425712073,2,31,0,4,1,0,3
0.43,0.52,158,3,0,sales,0.6422699422,1,35,2,2,1,0,2
0.24,0.46,224,5,0,accounting,0.3847876687,1,60,0,1,2,0,3
0.91,1,257,5,0,accounting,0.9731148769,1,57,1,2,2,1,2
0.44,0.5,148,3,0,accounting,0.5766653416,1,55,1,2,2,3,1
0.71,0.87,177,4,0,hr,0.7886394496,2,45,1,1,0,0,8
0.4,0.49,155,3,0,hr,0.3630939729,1,39,1,3,3,2,0
0.43,0.47,144,3,0,hr,0.4069254359,2,37,1,0,7,0,3
0.09,0.85,289,4,0,hr,0.7483663862,2,58,2,0,2,0,3
0.43,0.52,160,3,0,technical,0.6489092957,2,46,0,0,0,4,2
0.9,0.96,258,5,0,technical,1,2,29,2,2,2,0,2
0.84,1,234,5,0,technical,1,1,45,0,1,0,1,2
0.37,0.48,137,3,0,technical,0.5914381771,1,41,1,2,1,3,6
0.86,0.68,263,2,0,technical,0.7711016231,2,51,1,2,5,3,8
0.11,0.84,251,4,0,technical,0.7459710177,2,41,2,2,3,0,4
0.37,0.57,133,3,0,technical,0.6877676995,1,39,1,3,3,0,1
0.4,0.46,132,3,0,technical,0.4718026726,2,25,0,0,2,1,2
0.14,0.62,158,4,0,technical,0.7122320465,2,57,1,4,2,0,1
0.4,0.46,135,3,0,technical,0.57882739,1,27,1,1,1,2,5
0.75,1,216,6,0,technical,0.9454010425,1,24,1,1,1,4,3
0.11,0.84,300,5,0,support,0.7230155774,2,39,0,1,5,3,1
0.46,0.49,138,3,0,support,0.4083805488,2,39,2,1,3,1,2
0.11,0.92,260,4,0,support,0.8981323366,1,44,0,1,2,0,3
0.38,0.49,132,3,0,support,0.5854044298,2,56,0,2,2,0,6
0.7,0.89,183,5,0,support,0.998219175,1,27,2,1,1,1,2
0.09,0.82,250,4,0,support,0.6720856392,2,47,0,1,2,2,2
0.37,0.45,151,3,0,support,0.4532241908,1,42,2,2,3,0,4
0.1,0.83,292,4,0,support,0.8052233009,2,45,1,4,4,2,3
0.38,0.57,140,3,0,support,0.4866323431,1,36,2,2,0,0,5
0.9,1,221,5,0,support,0.8859596102,1,48,0,4,2,0,0
0.44,0.51,138,3,0,support,0.4612845514,2,53,1,1,5,0,2
0.36,0.5,132,3,0,technical,0.6328729112,1,33,1,0,2,2,2
0.31,0.84,133,5,0,technical,0.7869608796,1,26,1,2,2,1,1
0.1,0.84,283,4,0,technical,0.8456371865,2,28,1,3,1,0,3
0.42,0.48,129,3,0,management,0.5409056877,1,43,2,2,7,2,3
0.74,1,249,5,0,IT,0.9590888807,2,48,0,1,2,1,2
0.73,0.87,257,5,0,IT,1,1,36,2,3,3,1,2
0.09,0.96,245,4,0,IT,1,2,60,0,3,1,2,2
0.45,0.53,155,3,0,IT,0.4555346887,2,56,0,0,3,2,3
0.11,0.8,256,4,0,IT,0.7991745518,2,47,1,0,1,1,2
0.37,0.47,152,3,0,product_mng,0.4102634929,1,44,0,2,1,2,4
0.84,0.99,267,5,0,product_mng,0.9254521483,1,34,0,1,1,2,7
0.41,0.46,151,3,0,product_mng,0.3210660842,2,47,2,3,4,4,2
0.76,0.92,239,5,0,product_mng,0.9528693002,1,24,0,1,1,1,6
0.11,0.87,306,4,0,IT,0.870803707,2,50,0,2,4,2,7
0.84,0.88,263,5,0,marketing,0.7454436254,1,23,1,1,2,0,7
0.39,0.5,147,3,0,marketing,0.4335939393,1,49,0,1,2,0,1
0.11,0.91,278,4,0,marketing,1,1,44,2,1,1,1,4
0.45,0.56,154,3,0,marketing,0.4818685672,2,57,0,2,2,2,3
0.37,0.52,143,3,0,marketing,0.4134684616,1,27,1,3,7,0,2
0.4,0.52,155,3,0,marketing,0.5168358281,1,32,1,2,1,0,3
0.39,0.48,160,3,0,sales,0.6256951362,2,59,1,1,1,3,4
0.11,0.8,304,4,0,accounting,0.7226165815,1,55,0,0,2,1,4
0.83,1,240,5,0,support,1,2,38,1,1,4,1,0
0.11,0.92,305,4,0,technical,0.9984858846,2,24,2,1,1,1,4
0.39,0.5,136,3,0,management,0.4212912632,1,55,1,1,1,2,2
0.45,0.45,132,3,0,marketing,0.5184649046,1,43,1,3,2,0,3
0.1,0.95,301,4,0,marketing,0.9103349398,2,50,0,1,1,2,4
0.9,0.98,243,6,0,marketing,1,1,50,0,2,0,1,3
0.45,0.51,147,3,0,sales,0.5500589132,2,26,2,0,2,1,4
0.79,0.89,239,5,0,sales,0.9007324052,2,31,1,1,3,0,4
0.9,0.99,260,5,0,sales,0.867086931,1,31,1,3,4,3,0
0.11,0.84,296,4,0,sales,0.9405907487,1,30,1,1,2,4,1
0.43,0.55,129,3,0,sales,0.4962340195,1,42,1,2,1,1,1
0.31,0.54,132,5,0,sales,0.4459555531,2,34,2,0,0,2,4
0.32,0.5,135,5,0,sales,0.3622325425,2,31,1,4,0,1,3
0.45,0.57,158,3,0,sales,0.597267883,1,59,2,0,2,0,4
0.81,0.99,259,5,0,sales,1,1,32,0,2,2,1,6
0.41,0.46,160,3,1,sales,0.3149763487,1,25,0,2,2,0,4
0.11,0.78,278,4,0,sales,0.7836279175,2,52,2,2,3,3,1
0.1,0.88,284,4,0,sales,0.7979487326,2,55,1,0,1,3,1
0.7,0.53,274,4,0,sales,0.5735518371,1,56,1,3,3,0,2
0.54,0.74,164,2,0,sales,0.6423099287,1,60,0,3,1,0,3
0.41,0.48,148,3,0,sales,0.5372813214,2,60,1,1,1,2,1
0.38,0.5,140,3,0,sales,0.4660206039,1,54,2,1,3,1,2
0.37,0.51,127,3,0,sales,0.6410189966,2,29,2,3,4,1,6
0.11,0.85,308,5,0,sales,0.7412562832,2,53,2,0,4,1,1
0.4,0.47,146,3,0,sales,0.4223199053,2,54,2,3,5,1,1
0.1,0.84,261,4,0,accounting,0.7240420564,1,29,0,3,2,1,2
0.89,0.99,257,5,0,accounting,1,1,35,0,1,3,1,1
0.11,0.8,285,4,0,accounting,0.913201806,2,55,1,4,0,2,2
0.36,0.55,141,3,0,hr,0.4773824883,2,29,0,3,2,0,1
0.4,0.46,127,3,0,hr,0.5079952138,2,28,1,0,3,1,1
0.09,0.85,297,4,0,hr,0.9451666601,1,34,2,1,2,1,0
0.4,0.46,143,3,0,hr,0.4765602435,1,42,2,0,0,0,4
0.37,0.55,152,3,0,technical,0.5588951735,2,53,1,2,2,2,0
0.44,0.51,156,3,0,technical,0.4325556873,1,32,1,1,2,1,4
0.09,0.8,283,5,0,technical,0.6779308303,2,35,1,4,0,0,0
0.92,0.87,226,6,0,technical,0.9891647274,1,32,0,2,4,0,3
0.74,0.91,232,5,0,technical,1,2,23,0,5,2,1,1
0.09,0.82,249,4,0,technical,0.8599304372,1,55,0,2,4,0,3
0.89,0.95,275,5,0,technical,0.9017089373,2,38,2,1,2,1,4
0.09,0.8,304,4,0,technical,0.7547628724,1,35,1,0,0,1,4
0.27,0.54,278,3,0,technical,0.6077867037,1,46,0,0,2,0,1
0.1,0.91,287,4,0,technical,1,2,48,0,0,2,0,5
0.1,0.89,285,4,0,technical,1,2,29,1,0,1,5,4
0.77,0.94,226,6,0,support,1,2,38,1,0,1,1,1
0.9,0.82,259,5,0,support,0.8626094938,1,26,2,1,2,0,1
0.39,0.5,135,3,0,support,0.3752419895,1,33,2,2,2,1,3
0.76,1,219,5,0,support,0.8984886142,1,59,0,2,1,1,2
0.1,0.93,256,4,0,support,1,2,39,2,1,5,2,4
0.87,0.9,254,6,0,support,0.9319287179,1,47,1,2,1,4,5
0.38,0.5,153,3,0,support,0.3527591155,1,52,2,0,1,0,4
0.77,0.99,228,5,0,support,0.8704414629,1,58,1,1,1,1,4
0.78,0.87,228,5,0,support,0.9190505307,1,27,0,1,3,1,2
0.44,0.5,128,3,0,support,0.3515184752,1,36,1,2,2,0,4
0.38,0.52,153,3,0,support,0.4182424154,1,47,2,0,4,2,5
0.43,0.46,156,3,0,technical,0.4746201368,2,33,1,3,3,0,3
0.39,0.5,294,3,0,technical,0.5575685593,2,35,1,0,4,0,3
0.88,1,219,5,0,technical,1,2,22,1,0,2,0,5
0.45,0.46,153,3,0,management,0.3772807928,1,38,1,2,3,1,1
0.4,0.53,151,3,0,IT,0.5936537664,1,54,1,0,0,0,0
0.36,0.51,155,3,0,IT,0.4311747262,2,50,0,1,2,2,4
0.36,0.48,158,3,0,IT,0.4276199094,1,52,1,1,3,2,2
0.9,0.98,245,5,0,IT,1,1,29,1,3,3,2,3
0.43,0.53,131,3,0,IT,0.5748898697,2,51,1,2,2,1,1
0.89,0.87,225,5,0,product_mng,0.9747670231,2,34,1,0,2,0,4
0.1,0.84,286,4,0,product_mng,0.8872838677,1,37,0,1,3,4,3
0.37,0.5,135,3,0,product_mng,0.520492581,2,23,0,3,5,2,2
0.37,0.51,153,3,0,product_mng,0.3881024303,1,39,1,1,3,1,5
0.87,0.9,252,5,0,IT,0.8603147409,1,56,1,0,1,1,6
0.4,0.56,149,3,0,accounting,0.4895607103,2,40,0,3,0,3,5
0.9,0.97,258,5,0,accounting,0.893196893,1,34,0,3,0,0,3
0.37,0.46,158,3,0,hr,0.6019031664,1,25,1,2,1,1,2
0.44,0.54,149,3,0,hr,0.5079293174,2,40,1,2,1,1,1
0.85,0.95,236,5,0,hr,1,1,46,1,0,1,0,3
0.78,0.98,239,6,0,marketing,1,1,59,1,1,2,2,2
0.42,0.47,159,3,0,marketing,0.5584433911,2,52,1,0,3,1,6
0.92,0.99,255,6,0,sales,0.9907911279,2,57,1,3,0,0,4
0.11,0.83,244,4,0,accounting,0.8530711654,2,25,1,1,4,0,3
0.42,0.56,134,3,0,support,0.5577553081,1,60,0,2,3,1,6
0.48,0.57,270,4,0,technical,0.4785728963,2,28,2,1,1,1,1
0.83,0.85,255,5,0,management,0.9167356346,1,37,0,1,1,0,4
0.4,0.53,151,3,0,marketing,0.4642317087,1,26,0,0,0,3,4
0.43,0.45,135,3,0,marketing,0.3072947899,2,44,1,0,2,0,1
0.43,0.53,146,3,0,marketing,0.5736416888,2,57,1,1,2,1,2
0.1,0.97,254,4,0,sales,0.8731332038,1,53,1,0,0,1,4
0.1,0.87,289,4,0,sales,1,2,45,0,0,1,1,2
0.37,0.46,156,3,0,sales,0.5961785731,1,46,0,1,0,0,2
0.38,0.53,156,3,0,sales,0.6544593171,2,49,2,1,0,2,4
0.4,0.5,128,3,0,sales,0.4610476101,2,40,1,3,2,1,2
0.89,0.86,275,5,0,sales,0.714636985,1,28,1,4,0,2,4
0.45,0.46,155,3,0,sales,0.5884955688,1,38,0,0,2,2,1
0.37,0.48,159,3,0,sales,0.4584552445,2,23,0,0,1,3,3
0.46,0.49,148,3,0,sales,0.6299964457,1,37,1,4,4,0,2
0.87,0.91,228,5,0,sales,1,1,60,0,1,2,3,3
0.11,0.84,298,4,0,sales,0.9459028366,2,39,1,1,2,2,3
0.79,0.87,261,5,0,sales,0.8083346676,1,60,0,1,0,4,2
0.79,0.92,254,6,0,sales,0.8855293186,1,22,1,3,4,0,3
0.19,0.59,192,3,0,sales,0.6953410015,1,24,0,0,1,0,3
0.87,0.98,248,5,0,sales,0.9250766015,2,42,0,2,0,2,1
0.6,0.92,258,5,0,sales,0.820847824,1,51,2,1,2,4,4
0.44,0.45,156,3,0,sales,0.4670403787,1,32,2,2,0,0,1
0.11,0.81,266,4,0,sales,0.9408464322,1,43,0,0,0,0,2
0.42,0.54,156,3,0,sales,0.598808939,1,46,1,0,3,1,2
0.88,0.88,232,5,0,accounting,0.901018351,2,24,1,1,2,0,5
0.11,0.84,287,4,0,accounting,0.7191529481,2,51,1,1,3,0,3
0.46,0.46,154,3,0,accounting,0.494502168,2,45,1,1,2,1,3
0.82,0.97,263,5,0,hr,1,2,57,1,0,3,0,4
0.44,0.56,131,3,0,hr,0.4520252046,1,44,0,1,2,0,3
0.11,0.78,260,4,0,hr,0.7854988957,1,29,1,5,3,0,2
0.42,0.5,139,3,0,hr,0.6132119216,2,25,1,3,4,1,1
0.84,0.93,251,5,0,technical,1,2,60,0,0,2,2,3
0.11,0.95,286,4,0,technical,1,1,52,0,4,3,1,4
0.45,0.53,129,3,0,technical,0.5907452252,2,50,0,5,2,2,2
0.38,0.56,156,3,0,technical,0.5178473454,2,57,0,1,1,1,4
0.38,0.86,139,6,0,technical,0.7980775533,2,34,1,0,4,2,3
0.44,0.51,127,3,0,technical,0.6028083466,1,30,1,3,2,4,9
0.11,0.84,251,4,0,technical,0.9330340184,1,42,2,1,3,0,3
0.81,0.93,270,5,0,technical,1,1,24,1,2,1,1,3
0.09,0.96,296,4,0,technical,1,2,46,0,3,2,1,5
0.11,0.9,254,4,0,technical,0.9034027197,1,46,1,4,4,1,4
0.81,0.95,238,6,0,technical,0.9504548884,1,33,2,1,3,1,4
0.1,0.97,267,4,0,support,1,1,50,0,2,3,2,1
0.74,0.89,229,6,0,support,0.9349891792,2,32,0,2,2,2,0
0.09,0.78,254,4,0,support,0.8405900632,1,32,1,3,2,1,4
0.82,0.81,233,4,0,support,0.8987378008,2,47,2,0,2,3,2
0.1,0.98,268,4,0,support,1,1,35,0,3,3,0,1
0.27,0.56,301,3,0,support,0.5113985471,1,37,1,4,1,1,3
0.83,0.92,267,6,0,support,0.8826748858,2,31,0,0,1,3,2
0.1,0.93,289,4,0,support,0.808194582,2,52,1,1,3,2,3
0.38,0.47,144,3,0,support,0.4934840423,2,52,1,4,2,0,3
0.4,0.56,148,3,0,support,0.4207826821,2,57,1,2,0,2,2
0.11,0.83,306,4,0,support,0.8196794054,2,31,0,0,4,0,4
0.11,0.79,292,4,1,technical,0.8027933904,1,47,0,1,1,2,2
0.82,0.91,232,5,0,technical,0.8459623756,1,41,0,2,3,2,2
0.36,0.48,137,3,0,technical,0.5072499782,2,30,0,2,1,1,0
0.4,0.46,128,3,0,management,0.319150075,1,36,0,2,3,1,2
0.87,0.84,231,5,0,IT,0.7012044566,2,30,1,4,0,3,2
0.41,0.49,146,3,0,IT,0.5867801682,1,28,1,1,1,3,5
0.11,0.91,308,4,0,IT,0.8680571924,2,47,1,1,1,0,2
0.1,0.93,253,4,0,IT,0.8181181538,1,45,1,4,2,0,3
0.38,0.51,146,3,0,IT,0.516672978,1,33,2,1,1,2,3
0.39,0.55,156,3,0,product_mng,0.6309980659,1,41,2,0,2,3,4
0.4,0.52,147,3,0,product_mng,0.4347463082,1,35,1,3,3,3,4
0.45,0.48,136,3,0,product_mng,0.5168671427,2,43,1,2,2,0,4
0.74,0.84,249,5,0,product_mng,0.7156042395,2,37,2,1,0,0,4
0.45,0.55,151,3,0,IT,0.4155045164,1,50,1,0,1,2,3
0.12,1,278,4,0,RandD,1,1,53,0,1,2,3,3
0.1,0.77,250,5,0,RandD,0.7821905365,1,40,1,0,3,1,2
0.37,0.55,127,3,0,RandD,0.5912289704,2,56,0,3,1,1,6
0.89,0.87,255,5,0,RandD,0.9378274001,1,53,2,3,2,0,4
0.45,0.47,135,3,0,RandD,0.6127556238,1,41,2,4,3,0,3
0.37,0.46,149,3,0,marketing,0.4648901045,2,41,0,0,1,0,5
0.11,0.81,287,4,0,sales,0.7568869419,1,29,0,1,2,2,1
0.41,0.48,145,3,0,accounting,0.5685558584,2,56,0,2,2,2,1
0.1,0.94,285,4,0,support,0.8712496754,2,34,1,1,2,0,3
0.1,0.93,305,4,0,technical,0.9116914262,2,27,1,4,2,0,1
0.11,0.95,300,4,0,management,0.8235369144,1,37,2,2,5,1,2
0.4,0.54,139,3,0,marketing,0.397605223,2,26,1,2,2,1,4
0.41,0.49,130,3,0,marketing,0.6287945244,2,55,1,2,3,1,4
0.1,0.81,268,4,0,marketing,0.9107940362,2,27,0,0,4,1,3
0.73,0.86,245,6,0,sales,0.9187922618,1,54,2,3,0,1,4
0.43,0.47,135,3,0,sales,0.4426858833,1,36,0,2,0,5,0
0.37,0.46,153,3,0,sales,0.361988296,2,36,0,2,5,1,1
0.11,0.94,276,4,0,sales,0.8369311128,2,35,0,1,2,0,1
0.4,0.46,130,3,0,sales,0.3850728694,2,60,0,0,2,1,4
0.41,0.54,153,3,0,sales,0.5547679994,1,26,0,3,4,0,7
0.82,0.84,244,5,0,sales,0.9043787768,1,47,2,2,4,0,1
0.61,0.47,253,3,0,sales,0.518059213,1,38,0,2,2,2,3
0.11,0.91,287,4,0,sales,0.8439801691,2,37,1,1,3,0,2
0.37,0.45,131,3,0,sales,0.5864595842,1,56,2,3,2,2,4
0.41,0.52,135,3,0,sales,0.591369075,2,59,0,1,2,0,2
0.37,0.52,157,3,0,sales,0.5363062158,2,44,1,0,2,1,1
0.88,0.99,262,6,0,sales,1,2,34,1,1,2,2,2
0.1,0.85,266,4,0,sales,0.8258800187,1,54,2,5,2,1,2
0.44,0.48,148,3,0,sales,0.4043192969,2,50,1,1,2,1,4
0.38,0.57,140,3,0,sales,0.5267918036,2,55,0,2,3,1,4
0.11,0.85,302,4,0,sales,0.9273538331,1,55,1,1,2,1,1
0.09,0.98,271,4,0,sales,0.8343180466,1,48,1,1,2,0,2
0.45,0.52,145,3,0,sales,0.4048217922,2,36,0,4,1,0,1
0.1,0.81,290,4,0,accounting,0.6738007926,2,30,1,0,4,0,2
0.45,0.47,151,3,0,accounting,0.3322186407,2,47,1,3,1,0,2
0.77,0.87,266,5,0,accounting,0.9766381752,2,24,1,2,1,1,2
0.44,0.51,140,3,0,hr,0.5710973578,2,57,2,3,3,1,1
0.39,0.5,142,3,0,hr,0.4922521487,1,26,2,1,3,3,4
0.1,0.91,246,4,0,hr,0.7893502482,1,41,0,1,0,1,2
0.09,0.89,308,5,0,hr,0.8874847625,1,41,0,0,2,0,3
0.37,0.47,141,3,0,technical,0.4620415312,2,26,0,1,1,0,3
0.9,1,232,5,0,technical,0.901960561,1,31,2,4,3,1,5
0.41,0.56,143,3,0,technical,0.5401554948,2,37,0,0,1,1,6
0.37,0.52,155,3,0,technical,0.4895514203,1,46,2,0,1,1,4
0.1,0.86,278,4,0,technical,0.8947550294,1,46,1,4,2,0,2
0.81,1,253,5,0,technical,1,1,51,1,2,0,1,5
0.11,0.8,282,4,0,technical,0.6635912029,2,35,0,0,2,2,1
0.11,0.84,264,4,0,technical,0.8023837844,1,43,1,1,4,0,3
0.4,0.46,149,3,0,technical,0.4977579747,1,49,1,0,0,0,1
0.09,0.8,304,5,0,technical,0.8009408776,2,51,0,0,2,0,2
0.48,0.93,219,6,0,technical,1,1,40,1,1,2,1,3
0.91,0.91,262,6,0,support,0.9576080895,2,59,0,1,1,0,9
0.43,0.57,135,3,0,support,0.4688803281,1,41,1,1,2,1,5
0.33,0.88,219,5,0,support,0.7511706242,1,56,0,0,1,0,4
0.41,0.57,136,3,0,support,0.6127257835,2,43,1,1,0,1,4
0.41,0.55,154,3,0,support,0.4079533932,1,36,2,4,1,0,0
0.37,0.54,149,3,0,support,0.5657326744,1,32,1,3,3,1,2
0.31,0.62,135,5,0,support,0.7520690724,1,55,0,1,1,2,2
0.09,0.91,275,4,0,support,0.9326422534,2,45,0,1,2,1,2
0.1,0.87,290,4,0,support,0.8364509779,2,27,1,1,2,1,3
0.76,0.9,263,5,0,support,0.9429864655,1,38,0,3,4,1,0
0.41,0.54,145,3,0,support,0.5274758671,1,49,2,1,4,1,1
0.72,0.96,267,5,0,technical,0.9736850368,1,52,1,4,3,1,1
0.4,0.5,141,3,0,technical,0.6324394426,2,57,1,2,3,1,2
0.91,0.87,235,5,0,technical,0.8358307913,2,30,1,1,1,0,2
0.1,0.83,258,4,0,management,0.9683571691,1,31,1,2,1,2,5
0.4,0.56,131,3,0,IT,0.6816051926,1,42,2,0,1,1,3
